title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
The Rookie,DennisQuaid RachelGriffiths BethGrant AngusT.Jones,JohnLeeHancock,Drama Family,fathersonrelationship baseball sportsteam sport life'sdream growingup,,2002-03-25,127.0,,6.5,dennisquaid rachelgriffiths bethgrant angust.jones johnleehancock  drama family  fathersonrelationship baseball sportsteam sport life'sdream growingup
The Game Plan,DwayneJohnson MadisonPettis KyraSedgwick RoselynSánchez,AndyFickman,Comedy Family,americanfootball bachelor sportsteam sport aerobics tweengirl publicist,,2007-09-28,110.0,,6.0,dwaynejohnson madisonpettis kyrasedgwick roselynsánchez andyfickman  comedy family  americanfootball bachelor sportsteam sport aerobics tweengirl publicist
The Bridges of Madison County,MerylStreep ClintEastwood AnnieCorley VictorSlezak,ClintEastwood,Drama Romance,farewell adultery loveatfirstsight photographer wifehusbandrelationship iowa loveofone'slife motherrole bridge housewife loveletter peasant marriagecrisis photography unsociability secretlove naturedocumentary,,1995-05-28,135.0,,7.3,merylstreep clinteastwood anniecorley victorslezak clinteastwood  drama romance  farewell adultery loveatfirstsight photographer wifehusbandrelationship iowa loveofone'slife motherrole bridge housewife loveletter peasant marriagecrisis photography unsociability secretlove naturedocumentary
The Animal,RobSchneider ColleenHaskell JohnC.McGinley EdAsner,LukeGreenfield,Action Comedy,dream employee carcrash scientist policeofficer organdonation aftercreditsstinger virility,,2001-06-01,84.0,,4.6,robschneider colleenhaskell johnc.mcginley edasner lukegreenfield  action comedy  dream employee carcrash scientist policeofficer organdonation aftercreditsstinger virility
Gandhi,BenKingsley CandiceBergen EdwardFox JohnGielgud,RichardAttenborough,Drama History,muslim indianlead demonstration worldwarii imprisonment releasefromprison southafrica bravery hungerstrike colony morningprayer hindu independence britisharmy politicalnegotiations conference nonviolentresistance apartheid britishempire protest independencemovement bombayindia strike freedom prayer worldreligion hinduism mahatmagandhi calcutta,,1982-11-30,191.0,,7.4,benkingsley candicebergen edwardfox johngielgud richardattenborough  drama history  muslim indianlead demonstration worldwarii imprisonment releasefromprison southafrica bravery hungerstrike colony morningprayer hindu independence britisharmy politicalnegotiations conference nonviolentresistance apartheid britishempire protest independencemovement bombayindia strike freedom prayer worldreligion hinduism mahatmagandhi calcutta
The Hundred-Foot Journey,HelenMirren ManishDayal OmPuri CharlotteLeBon,LasseHallström,Drama,france basedonnovel indianlead restaurant family,,2014-08-06,122.0,,7.3,helenmirren manishdayal ompuri charlottelebon lassehallström  drama  france basedonnovel indianlead restaurant family
The Net,SandraBullock JeremyNortham DennisMiller WendyGazelle,IrwinWinkler,Crime Drama Mystery Thriller Action,cheating newidentity computervirus chase computer stalking,,1995-07-28,114.0,,5.6,sandrabullock jeremynortham dennismiller wendygazelle irwinwinkler  crime drama mystery thriller action  cheating newidentity computervirus chase computer stalking
I Am Sam,SeanPenn MichellePfeiffer DianneWiest DakotaFanning,JessieNelson,Drama,fosterparents probono newbaby socialservices learning coffeeshopmanager pizzahut children'sbook lockeddoor mentallyhandicappedman childcustody womandirector,,2001-12-28,132.0,,7.2,seanpenn michellepfeiffer diannewiest dakotafanning jessienelson  drama  fosterparents probono newbaby socialservices learning coffeeshopmanager pizzahut children'sbook lockeddoor mentallyhandicappedman childcustody womandirector
Son of God,RomaDowney DiogoMorgado LouiseDelamere DarwinShaw,ChristopherSpencer,Drama,biography resurrection,,2014-02-28,138.0,,5.9,romadowney diogomorgado louisedelamere darwinshaw christopherspencer  drama  biography resurrection
Underworld,KateBeckinsale ScottSpeedman MichaelSheen ShaneBrolly,LenWiseman,Fantasy Action Thriller,budapest subway loveofone'slife vampire bite descendant hostility shootout werewolf blunt fangvamp,,2003-09-19,121.0,,6.6,katebeckinsale scottspeedman michaelsheen shanebrolly lenwiseman  fantasy action thriller  budapest subway loveofone'slife vampire bite descendant hostility shootout werewolf blunt fangvamp
Derailed,CliveOwen JenniferAniston VincentCassel MelissaGeorge,MikaelHåfström,Drama Thriller,prison chicago rape basedonnovel hotelroom wifehusbandrelationship anonymousletter blackmail family'sdailylife letter businessman relationshipproblems manbetweentwowomen revenge deception beating violence wallet extramaritalaffair embezzlement advertisingexecutive flashback abortion commutertrain,,2005-11-11,108.0,,6.1,cliveowen jenniferaniston vincentcassel melissageorge mikaelhåfström  drama thriller  prison chicago rape basedonnovel hotelroom wifehusbandrelationship anonymousletter blackmail family'sdailylife letter businessman relationshipproblems manbetweentwowomen revenge deception beating violence wallet extramaritalaffair embezzlement advertisingexecutive flashback abortion commutertrain
The Informant!,MattDamon ScottBakula JoelMcHale MelanieLynskey,StevenSoderbergh,Drama Comedy Crime,agriculture company witnesstomurder,,2009-09-18,108.0,,6.0,mattdamon scottbakula joelmchale melanielynskey stevensoderbergh  drama comedy crime  agriculture company witnesstomurder
Shadowlands,AnthonyHopkins DebraWinger JohnWood JulianFellowes,RichardAttenborough,Drama Romance,bachelor strokeoffate brother oxford author fallinginlove,,1993-12-25,131.0,,6.8,anthonyhopkins debrawinger johnwood julianfellowes richardattenborough  drama romance  bachelor strokeoffate brother oxford author fallinginlove
Deuce Bigalow: European Gigolo,RobSchneider EddieGriffin JeroenKrabbé TilSchweiger,MikeBigelow,Comedy,painter amsterdam dolphin europe pimp fetish gigolo wig snorkel whistle,,2005-08-06,83.0,,4.7,robschneider eddiegriffin jeroenkrabbé tilschweiger mikebigelow  comedy  painter amsterdam dolphin europe pimp fetish gigolo wig snorkel whistle
Delivery Man,VinceVaughn CobieSmulders ChrisPratt BrittRobertson,KenScott,Comedy,remake spermdonor,,2013-10-10,105.0,,6.2,vincevaughn cobiesmulders chrispratt brittrobertson kenscott  comedy  remake spermdonor
Our Kind of Traitor,EwanMcGregor StellanSkarsgård DamianLewis NaomieHarris,SusannaWhite,Thriller,basedonnovel womandirector,,2016-05-05,108.0,,6.0,ewanmcgregor stellanskarsgård damianlewis naomieharris susannawhite  thriller  basedonnovel womandirector
Saving Silverman,JasonBiggs SteveZahn JackBlack AmandaPeet,DennisDugan,Comedy Crime Romance,femalenudity harassment malefriendship darkcomedy directorcameo duringcreditsstinger,,2001-02-09,90.0,,5.4,jasonbiggs stevezahn jackblack amandapeet dennisdugan  comedy crime romance  femalenudity harassment malefriendship darkcomedy directorcameo duringcreditsstinger
Diary of a Wimpy Kid: Dog Days,ZacharyGordon RobertCapron DevonBostick RachaelHarris,DavidBowers,Comedy Family,bestfriend sweetsixteen duringcreditsstinger,,2012-08-02,94.0,,6.0,zacharygordon robertcapron devonbostick rachaelharris davidbowers  comedy family  bestfriend sweetsixteen duringcreditsstinger
Summer of Sam,JohnLeguizamo AdrienBrody MiraSorvino JenniferEsposito,SpikeLee,Thriller Drama Crime Romance,distrust intolerance punkrock italianamerican summer bigotry bronx,,1999-07-02,142.0,,6.3,johnleguizamo adrienbrody mirasorvino jenniferesposito spikelee  thriller drama crime romance  distrust intolerance punkrock italianamerican summer bigotry bronx
Jay and Silent Bob Strike Back,KevinSmith JasonMewes BenAffleck JeffAnderson,KevinSmith,Comedy,filmmaking jayandsilentbob selfmocking characterissubjectofcomic referencetoprincevaliant indianajonesspoofscene monkeyactor viewaskew gigantichand animalexperimentation,,2001-08-22,104.0,,6.4,kevinsmith jasonmewes benaffleck jeffanderson kevinsmith  comedy  filmmaking jayandsilentbob selfmocking characterissubjectofcomic referencetoprincevaliant indianajonesspoofscene monkeyactor viewaskew gigantichand animalexperimentation
The Glass House,LeeleeSobieski DianeLane StellanSkarsgård BruceDern,DanielSackheim,Drama Thriller,california brothersisterrelationship lossofparents suspense psychologicalthriller orphan caraccident,,2001-09-14,106.0,,5.4,leeleesobieski dianelane stellanskarsgård brucedern danielsackheim  drama thriller  california brothersisterrelationship lossofparents suspense psychologicalthriller orphan caraccident
"Hail, Caesar!",JoshBrolin GeorgeClooney AldenEhrenreich RalphFiennes,JoelCoen EthanCoen,Comedy Drama Mystery,journalist cat ransom kidnapping ancientrome movieinmovie hollywood perioddrama,,2016-02-05,106.0,,5.7,joshbrolin georgeclooney aldenehrenreich ralphfiennes joelcoen ethancoen  comedy drama mystery  journalist cat ransom kidnapping ancientrome movieinmovie hollywood perioddrama
Josie and the Pussycats,RachaelLeighCook RosarioDawson TaraReid GabrielMann,DeborahKaplan HarryElfont,Comedy Music,manager pop secret smalltown garage musician music friendship industry fame conspiracy subliminal  rockband culture womandirector messages fortune recorddeal popular pawns,,2001-04-06,98.0,,5.3,rachaelleighcook rosariodawson tarareid gabrielmann deborahkaplan harryelfont  comedy music  manager pop secret smalltown garage musician music friendship industry fame conspiracy subliminal  rockband culture womandirector messages fortune recorddeal popular pawns
Homefront,JasonStatham JamesFranco IzabelaVidovic WinonaRyder,GaryFleder,Action Thriller,basedonnovel drugdealer ex-cop ruralsetting undercovercop methamphetamine motorcyclegang drug revengemotive fatherdaughterrelationship lousianabayou,,2013-11-27,100.0,,6.4,jasonstatham jamesfranco izabelavidovic winonaryder garyfleder  action thriller  basedonnovel drugdealer ex-cop ruralsetting undercovercop methamphetamine motorcyclegang drug revengemotive fatherdaughterrelationship lousianabayou
The Little Vampire,RichardE.Grant JonathanLipnicki JimCarter AliceKrige,UliEdel,Family Horror,basedonnovel vampire bite independentfilm fangvamp,,2000-10-27,95.0,,6.1,richarde.grant jonathanlipnicki jimcarter alicekrige uliedel  family horror  basedonnovel vampire bite independentfilm fangvamp
I Heart Huckabees,JasonSchwartzman DustinHoffman LilyTomlin JudeLaw,DavidO.Russell,Comedy Romance,sex detective jealousy humor protest wife celebrity rivalry independentfilm religion universe anger nature husband existentialism enviroment issues,,2004-09-10,106.0,,6.2,jasonschwartzman dustinhoffman lilytomlin judelaw davido.russell  comedy romance  sex detective jealousy humor protest wife celebrity rivalry independentfilm religion universe anger nature husband existentialism enviroment issues
RoboCop 3,RobertJohnBurke NancyAllen MarioMachado JodiLong,FredDekker,Action Adventure Crime ScienceFiction Thriller,cyborg dystopia police sequel cyberpunk policeman robocop,,1993-04-17,104.0,,4.2,robertjohnburke nancyallen mariomachado jodilong freddekker  action adventure crime sciencefiction thriller  cyborg dystopia police sequel cyberpunk policeman robocop
Megiddo: The Omega Code 2,MichaelYork MichaelBiehn DianeVenora R.LeeErmey,BrianTrenchard-Smith PaulJ.Lombardi,Action ScienceFiction Thriller,dystopia,,2001-09-07,104.0,,3.6,michaelyork michaelbiehn dianevenora r.leeermey briantrenchard-smith paulj.lombardi  action sciencefiction thriller  dystopia
Darling Lili,JulieAndrews RockHudson JeremyKemp LancePercival,BlakeEdwards,Drama Comedy Thriller Music Romance,spy uncle,,1970-01-01,107.0,,4.9,julieandrews rockhudson jeremykemp lancepercival blakeedwards  drama comedy thriller music romance  spy uncle
Dudley Do-Right,BrendanFraser SarahJessicaParker AlfredMolina EricIdle,HughWilson,Comedy Family Romance,basedoncartoon mountie,,1999-08-27,77.0,,3.8,brendanfraser sarahjessicaparker alfredmolina ericidle hughwilson  comedy family romance  basedoncartoon mountie
The Transporter Refueled,EdSkrein RayStevenson LoanChabanol GabriellaWright,CamilleDelamarre,Thriller Action Crime,transporter sequel suspense car bankheist action,,2015-09-03,96.0,,5.2,edskrein raystevenson loanchabanol gabriellawright camilledelamarre  thriller action crime  transporter sequel suspense car bankheist action
The Libertine,JohnnyDepp SamanthaMorton JohnMalkovich RosamundPike,LaurenceDunmore,Drama Romance,londonengland sex dyinganddeath poet theatremilieu monolog monkey alcoholic,,2004-09-16,114.0,,5.9,johnnydepp samanthamorton johnmalkovich rosamundpike laurencedunmore  drama romance  londonengland sex dyinganddeath poet theatremilieu monolog monkey alcoholic
Black Book,CaricevanHouten SebastianKoch ThomHoffman HalinaReijn,PaulVerhoeven,Drama Thriller War,inlovewithenemy netherlands worldwarii prosecution,,2006-09-01,145.0,,7.2,caricevanhouten sebastiankoch thomhoffman halinareijn paulverhoeven  drama thriller war  inlovewithenemy netherlands worldwarii prosecution
Joyeux Noël,DianeKruger NatalieDessay BennoFürmann GuillaumeCanet,ChristianCarion,Romance Drama History War Music,holiday worldwari hostility singer singing christmas,,2005-11-09,116.0,,7.2,dianekruger nataliedessay bennofürmann guillaumecanet christiancarion  romance drama history war music  holiday worldwari hostility singer singing christmas
Hit & Run,KristenBell DaxShepard TomArnold KristinChenoweth,DaxShepard DavidPalmer,Action Comedy Romance,witnessprotection getawaydriver duringcreditsstinger,,2012-08-22,100.0,,5.5,kristenbell daxshepard tomarnold kristinchenoweth daxshepard davidpalmer  action comedy romance  witnessprotection getawaydriver duringcreditsstinger
Mad Money,DianeKeaton QueenLatifah KatieHolmes TedDanson,CallieKhouri,Action Comedy Crime,gang hoodlum womandirector,,2008-01-17,104.0,,5.9,dianekeaton queenlatifah katieholmes teddanson calliekhouri  action comedy crime  gang hoodlum womandirector
Before I Go to Sleep,NicoleKidman ColinFirth MarkStrong Anne-MarieDuff,RowanJoffe,Mystery Thriller,amnesia therapist aggression hospital flashback,,2014-09-03,92.0,,6.2,nicolekidman colinfirth markstrong anne-marieduff rowanjoffe  mystery thriller  amnesia therapist aggression hospital flashback
Sorcerer,RoyScheider BrunoCremer FranciscoRabal Amidou,WilliamFriedkin,Action Thriller Adventure,dynamite carjourney nicaragua criminal bandit explosives latinamerica ropebridge transport nitroglycerin oilcompany existentialism dangerousmission,,1977-06-24,121.0,,7.4,royscheider brunocremer franciscorabal amidou williamfriedkin  action thriller adventure  dynamite carjourney nicaragua criminal bandit explosives latinamerica ropebridge transport nitroglycerin oilcompany existentialism dangerousmission
Stone,FrancesConroy RobertDeNiro EdwardNorton MillaJovovich,JohnCurran,Drama,prison fire manipulation seduction vegetarian playground deception arson parole arsonist convict housefire,,2010-10-07,105.0,,5.2,francesconroy robertdeniro edwardnorton millajovovich johncurran  drama  prison fire manipulation seduction vegetarian playground deception arson parole arsonist convict housefire
Moliere,RomainDuris FabriceLuchini EdouardBaer LudivineSagnier,LaurentTirard,Romance Drama Comedy,playwright,,2007-01-31,115.0,,6.7,romainduris fabriceluchini edouardbaer ludivinesagnier laurenttirard  romance drama comedy  playwright
Out of the Furnace,ChristianBale ZoeSaldana WoodyHarrelson SamShepard,ScottCooper,Thriller Drama Crime,prison brotherbrotherrelationship drugdealer brother revenge druguse caraccident justice family bareknucklefighting rustbelt neo-noir manslaughter socialdecay ptsd,,2013-12-06,116.0,,6.5,christianbale zoesaldana woodyharrelson samshepard scottcooper  thriller drama crime  prison brotherbrotherrelationship drugdealer brother revenge druguse caraccident justice family bareknucklefighting rustbelt neo-noir manslaughter socialdecay ptsd
Michael Clayton,GeorgeClooney TomWilkinson TildaSwinton SydneyPollack,TonyGilroy,Drama Mystery Crime,killing restaurant chambersofabarrister scandal pretendedsuicide lawsuit carbomb businessethics crookedlawyer,,2007-09-28,119.0,,6.5,georgeclooney tomwilkinson tildaswinton sydneypollack tonygilroy  drama mystery crime  killing restaurant chambersofabarrister scandal pretendedsuicide lawsuit carbomb businessethics crookedlawyer
My Fellow Americans,JackLemmon JamesGarner DanAykroyd JohnHeard,PeterSegal,Comedy Drama,whitehouse usapresident nationalsecurityagency(nsa) danger sable writ,,1996-12-20,101.0,,6.3,jacklemmon jamesgarner danaykroyd johnheard petersegal  comedy drama  whitehouse usapresident nationalsecurityagency(nsa) danger sable writ
Arlington Road,JeffBridges TimRobbins JoanCusack HopeDavis,MarkPellington,Drama Thriller Mystery,bomb terrorist fbi professor paranoia college wife politics army murder suspense neighbor agent blueprint classified neo-noir,,1999-03-19,117.0,,7.0,jeffbridges timrobbins joancusack hopedavis markpellington  drama thriller mystery  bomb terrorist fbi professor paranoia college wife politics army murder suspense neighbor agent blueprint classified neo-noir
Underdogs,JuanJoséCampanella DiegoRamos PabloRago AxelKuschevatzky,JuanJoséCampanella,Animation Adventure Romance,soccer,,2013-07-18,106.0,,6.0,juanjosécampanella diegoramos pablorago axelkuschevatzky juanjosécampanella  animation adventure romance  soccer
To Rome with Love,EllenPage WoodyAllen JesseEisenberg PenélopeCruz,WoodyAllen,Romance Comedy,rome expatriate episodic,,2012-04-20,111.0,,5.6,ellenpage woodyallen jesseeisenberg penélopecruz woodyallen  romance comedy  rome expatriate episodic
Firefox,ClintEastwood FreddieJones DavidHuffman WarrenClarke,ClintEastwood,ScienceFiction Action Adventure Thriller,flying pilot kampfjet falseidentity assault suspense,,1982-06-13,136.0,,5.5,clinteastwood freddiejones davidhuffman warrenclarke clinteastwood  sciencefiction action adventure thriller  flying pilot kampfjet falseidentity assault suspense
"South Park: Bigger, Longer & Uncut",TreyParker MattStone MaryKayBergman IsaacHayes,TreyParker,Animation Comedy Music,gay mountrushmorenationalmemorial swearword mephisto hell worldsupremacy elementaryschool saddamhussein bloodsplatter atheist sequel surrealism friendswhohateeachother satan basedontvseries cartoonsex childswearing visionsofhell u.s.canadawar shottodeath adultanimation southparkcolorado,,1999-06-30,81.0,,7.1,treyparker mattstone marykaybergman isaachayes treyparker  animation comedy music  gay mountrushmorenationalmemorial swearword mephisto hell worldsupremacy elementaryschool saddamhussein bloodsplatter atheist sequel surrealism friendswhohateeachother satan basedontvseries cartoonsex childswearing visionsofhell u.s.canadawar shottodeath adultanimation southparkcolorado
Death at a Funeral,MatthewMacfadyen KeeleyHawes AndyNyman EwenBremner,FrankOz,Comedy Drama,brotherbrotherrelationship farewell fathersonrelationship agedifference parentskidsrelationship secret sadness coffin funeral gathering surprise lsd studies hallucinogen drugtrip arrogance femalecorpse,,2007-02-09,90.0,,6.9,matthewmacfadyen keeleyhawes andynyman ewenbremner frankoz  comedy drama  brotherbrotherrelationship farewell fathersonrelationship agedifference parentskidsrelationship secret sadness coffin funeral gathering surprise lsd studies hallucinogen drugtrip arrogance femalecorpse
Teenage Mutant Ninja Turtles III,PaigeTurco StuartWilson SabShimono VivianWu,StuartGillard,Action Adventure Comedy Family Fantasy ScienceFiction,japan timetravel ninja,,1993-03-17,96.0,,5.1,paigeturco stuartwilson sabshimono vivianwu stuartgillard  action adventure comedy family fantasy sciencefiction  japan timetravel ninja
Hardball,KeanuReeves DianeLane MichaelB.Jordan D.B.Sweeney,BrianRobbins,Comedy Romance,gay,,2001-09-14,106.0,,6.3,keanureeves dianelane michaelb.jordan d.b.sweeney brianrobbins  comedy romance  gay
Silver Linings Playbook,BradleyCooper JenniferLawrence RobertDeNiro JackiWeaver,DavidO.Russell,Drama Comedy Romance,dancing philadelphia running basedonnovel depression letter friendship neighbor mentalillness ex-wife institutionalization bipolar philadelphiaeagles,,2012-09-08,122.0,,6.9,bradleycooper jenniferlawrence robertdeniro jackiweaver davido.russell  drama comedy romance  dancing philadelphia running basedonnovel depression letter friendship neighbor mentalillness ex-wife institutionalization bipolar philadelphiaeagles
Freedom Writers,HilarySwank ScottGlenn ImeldaStaunton PatrickDempsey,RichardLaGravenese,Crime Drama,blackpeople basedonnovel holocaust ghetto diary principalwitness biography daughter highschool racialsegregation annefrank schoolexcursion idealism violenceinschools racialtension gangviolence basedontrueevents,,2007-01-05,123.0,,7.5,hilaryswank scottglenn imeldastaunton patrickdempsey richardlagravenese  crime drama  blackpeople basedonnovel holocaust ghetto diary principalwitness biography daughter highschool racialsegregation annefrank schoolexcursion idealism violenceinschools racialtension gangviolence basedontrueevents
For Colored Girls,KimberlyElise JanetJackson LorettaDevine ThandieNewton,TylerPerry,Drama,femalenudity poem rape love domesticviolence womanhood,,2010-11-05,134.0,,7.0,kimberlyelise janetjackson lorettadevine thandienewton tylerperry  drama  femalenudity poem rape love domesticviolence womanhood
The Transporter,JasonStatham ShuQi FrançoisBerléand MattSchulze,LouisLeterrier CoreyYuenKwai,Action Crime Thriller,carjourney transportation auto humantrafficking,,2002-10-02,92.0,,6.6,jasonstatham shuqi françoisberléand mattschulze louisleterrier coreyyuenkwai  action crime thriller  carjourney transportation auto humantrafficking
Never Back Down,SeanFaris AmberHeard CamGigandet DjimonHounsou,JeffWadlow,Drama Action,rebel martialarts underground fight training champion sport highschool party revenge blood nemesis violence club brawl,,2008-03-04,115.0,,6.4,seanfaris amberheard camgigandet djimonhounsou jeffwadlow  drama action  rebel martialarts underground fight training champion sport highschool party revenge blood nemesis violence club brawl
The Rage: Carrie 2,EmilyBergl JasonLondon AmyIrving J.Smith-Cameron,KattShea,Horror Thriller ScienceFiction,suicide malenudity femalenudity fire nudity asylum telekinesis highschool swimmingpool party sequel murder prom teacher decapitation blood splatter weightlifting teensuicide womandirector,,1999-03-11,104.0,,5.1,emilybergl jasonlondon amyirving j.smith-cameron kattshea  horror thriller sciencefiction  suicide malenudity femalenudity fire nudity asylum telekinesis highschool swimmingpool party sequel murder prom teacher decapitation blood splatter weightlifting teensuicide womandirector
Away We Go,JohnKrasinski MayaRudolph CarmenEjogo CatherineO'Hara,SamMendes,Drama Comedy Romance,interracialrelationship deadfather referencetobobdylan biracial bedtimestory unmarriedcouple medicalillustrator disguisedvoice referencetohuckleberryfinn studentprotest sonogram expectantgrandmother deadparents testicles,,2009-06-05,98.0,,6.7,johnkrasinski mayarudolph carmenejogo catherineo'hara sammendes  drama comedy romance  interracialrelationship deadfather referencetobobdylan biracial bedtimestory unmarriedcouple medicalillustrator disguisedvoice referencetohuckleberryfinn studentprotest sonogram expectantgrandmother deadparents testicles
Swing Vote,KevinCostner MadelineCarroll PaulaPatton KelseyGrammer,JoshuaMichaelStern,Drama Comedy,usapresident presidentialelection foxnews,,2008-08-01,120.0,,5.8,kevincostner madelinecarroll paulapatton kelseygrammer joshuamichaelstern  drama comedy  usapresident presidentialelection foxnews
Moonlight Mile,JakeGyllenhaal DustinHoffman SusanSarandon AleksiaLandeau,BradSilberling,Romance Drama,,,2002-09-09,117.0,,6.5,jakegyllenhaal dustinhoffman susansarandon aleksialandeau bradsilberling  romance drama  
Tinker Tailor Soldier Spy,JohnHurt GaryOldman KathyBurke BenedictCumberbatch,TomasAlfredson,Drama Thriller Mystery,spy coldwar spying espionage mole britishspy,,2011-09-16,127.0,,6.6,johnhurt garyoldman kathyburke benedictcumberbatch tomasalfredson  drama thriller mystery  spy coldwar spying espionage mole britishspy
Molly,ElisabethShue AaronEckhart JillHennessy ThomasJane,JohnDuigan,Drama Comedy Romance,,,1999-10-22,102.0,,5.5,elisabethshue aaroneckhart jillhennessy thomasjane johnduigan  drama comedy romance  
The Beaver,JodieFoster MelGibson JenniferLawrence AntonYelchin,JodieFoster,Drama,puppet womandirector,,2011-02-11,91.0,,6.3,jodiefoster melgibson jenniferlawrence antonyelchin jodiefoster  drama  puppet womandirector
The Best Little Whorehouse in Texas,BurtReynolds DollyParton DomDeLuise CharlesDurning,ColinHiggins,Comedy,brothel corset crusader musical governor tvreporter madame busty cathouse basedonstagemusical basedonadaptation basedonarticle swearing,,1982-07-23,114.0,,5.9,burtreynolds dollyparton domdeluise charlesdurning colinhiggins  comedy  brothel corset crusader musical governor tvreporter madame busty cathouse basedonstagemusical basedonadaptation basedonarticle swearing
eXistenZ,JenniferJasonLeigh JudeLaw IanHolm WillemDafoe,DavidCronenberg,Action Thriller ScienceFiction Horror,videogame hacker bodyguard popstar virtualreality dystopia virtualfight,,1999-04-14,97.0,,6.7,jenniferjasonleigh judelaw ianholm willemdafoe davidcronenberg  action thriller sciencefiction horror  videogame hacker bodyguard popstar virtualreality dystopia virtualfight
Raiders of the Lost Ark,HarrisonFord KarenAllen PaulFreeman RonaldLacey,StevenSpielberg,Adventure Action,savingtheworld riddle nepal himalaya cairo moses egypt whip treasure medallion leatherjacket nazis hat mediterranean arkofthecovenant tencommandments treasurehunt excavation swastika archaeologist indianajones archeology,,1981-06-12,115.0,,7.7,harrisonford karenallen paulfreeman ronaldlacey stevenspielberg  adventure action  savingtheworld riddle nepal himalaya cairo moses egypt whip treasure medallion leatherjacket nazis hat mediterranean arkofthecovenant tencommandments treasurehunt excavation swastika archaeologist indianajones archeology
Home Alone 2: Lost in New York,MacaulayCulkin JoePesci CatherineO'Hara DanielStern,ChrisColumbus,Comedy Family Adventure Crime,holiday newyork newyorkcity christmas,,1992-11-19,120.0,,6.3,macaulayculkin joepesci catherineo'hara danielstern chriscolumbus  comedy family adventure crime  holiday newyork newyorkcity christmas
Close Encounters of the Third Kind,RichardDreyfuss FrançoisTruffaut TeriGarr MelindaDillon,StevenSpielberg,ScienceFiction Drama,indiana obsession extraterrestrialtechnology evacuation blackout flyingsaucer secretbase light contact beguilement exchange ufo alien vision missingperson mothership escapade obsessivequest lifeturnedupsidedown,,1977-11-16,135.0,,7.2,richarddreyfuss françoistruffaut terigarr melindadillon stevenspielberg  sciencefiction drama  indiana obsession extraterrestrialtechnology evacuation blackout flyingsaucer secretbase light contact beguilement exchange ufo alien vision missingperson mothership escapade obsessivequest lifeturnedupsidedown
Pulse,KristenBell IanSomerhalder ChristinaMilian RickGonzalez,JimSonzero,Horror Thriller,suicide hacker deathofafriend website remake,,2006-08-11,90.0,,5.0,kristenbell iansomerhalder christinamilian rickgonzalez jimsonzero  horror thriller  suicide hacker deathofafriend website remake
Beverly Hills Cop II,EddieMurphy JudgeReinhold JohnAshton RonnyCox,TonyScott,Action Comedy Crime,smugglingofarms detective intensivecare undercover stripclub armoredcar investigation police swimmingpool sequel shootout gunfight losangeles explosion violence carchase detroit horsetrack beverlyhills buddycop oilfield cementtruck playboymansion shootingrange,,1987-05-18,100.0,,6.1,eddiemurphy judgereinhold johnashton ronnycox tonyscott  action comedy crime  smugglingofarms detective intensivecare undercover stripclub armoredcar investigation police swimmingpool sequel shootout gunfight losangeles explosion violence carchase detroit horsetrack beverlyhills buddycop oilfield cementtruck playboymansion shootingrange
Bringing Down the House,SteveMartin QueenLatifah EugeneLevy JoanPlowright,AdamShankman,Comedy,prison ex-boyfriend support escape lawyer,,2003-03-07,105.0,,5.4,stevemartin queenlatifah eugenelevy joanplowright adamshankman  comedy  prison ex-boyfriend support escape lawyer
The Silence of the Lambs,JodieFoster AnthonyHopkins ScottGlenn TedLevine,JonathanDemme,Crime Drama Thriller,basedonnovel psychopath horror suspense serialkiller psychologicalthriller cannibal fbiagent animalincastcredits cannibalism,,1991-02-01,119.0,,8.1,jodiefoster anthonyhopkins scottglenn tedlevine jonathandemme  crime drama thriller  basedonnovel psychopath horror suspense serialkiller psychologicalthriller cannibal fbiagent animalincastcredits cannibalism
Wayne's World,MikeMyers DanaCarvey RobLowe TiaCarrere,PenelopeSpheeris,Music Comedy,tvshow heavymetal televisionproducer womandirector,,1992-02-14,94.0,,6.5,mikemyers danacarvey roblowe tiacarrere penelopespheeris  music comedy  tvshow heavymetal televisionproducer womandirector
Jackass 3D,JohnnyKnoxville BamMargera RyanDunn Steve-O,JeffTremaine,Comedy Documentary Action,pain stunts stuntman stupidity comedy duringcreditsstinger 3d,,2010-10-15,94.0,,6.4,johnnyknoxville bammargera ryandunn steve-o jefftremaine  comedy documentary action  pain stunts stuntman stupidity comedy duringcreditsstinger 3d
Jaws 2,RoyScheider LorraineGary MurrayHamilton JosephMascolo,JeannotSzwarc,Horror Thriller,mayor island policechief sailing boataccident dyinganddeath panic current aggressionbyanimal sequel rescue teenager shark greatwhiteshark high-tensioncurrent tourism,,1978-06-16,116.0,,5.9,royscheider lorrainegary murrayhamilton josephmascolo jeannotszwarc  horror thriller  mayor island policechief sailing boataccident dyinganddeath panic current aggressionbyanimal sequel rescue teenager shark greatwhiteshark high-tensioncurrent tourism
Beverly Hills Chihuahua,DrewBarrymore PiperPerabo AndyGarcía GeorgeLopez,RajaGosnell,Adventure Comedy Family,dogdirt chihuahua pinata pottedplant duringcreditsstinger,,2008-10-03,91.0,,4.9,drewbarrymore piperperabo andygarcía georgelopez rajagosnell  adventure comedy family  dogdirt chihuahua pinata pottedplant duringcreditsstinger
